age_calBP,years_AD,d13C,d18O
5565.702654,-3616,-2.636831831,-11.86165261
5540.106086,-3590,-2.641954853,-12.11392399
5514.634599,-3565,-2.471698173,-11.92150798
5489.288186,-3539,-2.37187092,-11.64638761
5464.066829,-3514,-2.275409712,-11.8849689
5438.970507,-3489,-2.263291066,-11.96310743
5413.999187,-3464,-2.658798444,-11.89436128
5389.152831,-3439,-2.527750722,-12.14246758
5364.431391,-3414,-2.26608666,-11.96397227
5339.834813,-3390,-2.376569783,-12.3194765
5315.363034,-3365,-2.312519743,-11.88473207
5291.015985,-3341,-2.322361012,-11.8518657
5266.793587,-3317,-2.641910334,-11.61602058
5242.695754,-3293,-2.62172762,-12.03762909
5218.722394,-3269,-2.467751523,-12.10813128
5194.873404,-3245,-2.541175689,-12.15075627
5171.148677,-3221,-2.456477346,-11.93554822
5147.548094,-3198,-2.672450182,-12.12306958
5124.071532,-3174,-0.330482762,-12.05253522
5100.718858,-3151,-2.742338653,-12.24993349
5077.489933,-3127,-2.789535487,-12.31507113
5054.384607,-3104,-2.997598577,-12.40126298
5031.402726,-3081,-2.630264589,-12.26283683
5008.544127,-3059,-2.918595819,-12.88197147
4985.808637,-3036,-3.005588083,-12.76686268
4963.196079,-3013,-3.126328552,-12.52662731
4940.706265,-2991,-3.155047552,-12.49747541
4918.339001,-2968,-3.605925313,-12.80706354
4894.985047,-2945,-3.236160914,-12.40885665
4890.551948,-2941,-2.945513964,-12.44475498
4886.123733,-2936,-3.786090063,-12.89372963
4881.700399,-2932,-3.697435657,-12.65436333
4877.281945,-2927,-2.402737166,-11.96153733
4872.86837,-2923,-2.564211519,-12.06203937
4868.45967,-2918,-2.753392497,-12.32744136
4864.055846,-2914,-3.468779146,-11.79639613
4859.656894,-2910,-4.112033637,-13.28034887
4855.262813,-2905,-3.37026655,-12.59600393
4850.873601,-2901,-3.773150857,-12.98399878
4846.489257,-2896,-4.38785562,-13.40759071
4842.109778,-2892,-3.459045568,-12.39284518
4837.735163,-2888,-3.459613566,-13.03233291
4833.36541,-2883,-3.801052774,-13.00660394
4829.000516,-2879,-3.59990997,-12.71520588
4824.640481,-2875,-4.063542882,-12.95061122
4820.285301,-2870,-3.443105392,-12.70674835
4815.934976,-2866,-3.564544021,-12.15208024
4811.589503,-2862,-2.519080512,-11.9597647
4807.24888,-2857,-2.760459298,-12.2590109
4802.913106,-2853,-2.619519858,-12.10663401
4792.094869,-2842,-2.80287365,-12.34237516
4770.549138,-2821,-2.680079295,-12.20987
4749.124188,-2799,-3.149164626,-12.27830869
4727.819754,-2778,-3.320073773,-12.66354739
4706.635568,-2757,-3.080292196,-12.83247595
4685.57135,-2736,-3.121325876,-12.35382645
4664.626816,-2715,-3.161990083,-12.43772058
4643.801672,-2694,-3.068755671,-12.91764805
4623.095616,-2673,-3.417256131,-12.21312774
4602.50834,-2653,-2.949679072,-12.58432934
4582.039526,-2632,-3.305565692,-12.95314721
4561.68885,-2612,-3.419184906,-12.51477033
4541.455981,-2591,-3.54444257,-12.81563109
4521.340577,-2571,-3.187646109,-12.84649093
4501.342291,-2551,-3.119111373,-12.82080428
4481.460767,-2531,-3.182630385,-12.94096523
4461.695642,-2512,-3.106185489,-12.96590792
4442.046545,-2492,-3.134631738,-13.14249623
4422.513097,-2473,-3.081889027,-12.85573008
4403.09491,-2453,-2.993835119,-12.70311014
4383.791591,-2434,-3.176300196,-12.72852474
4364.602738,-2415,-3.342425747,-13.03772584
4345.52794,-2396,-3.288059114,-12.76296689
4338.878629,-2389,-3.14763298,-12.7032569
4319.957141,-2370,-3.034082787,-12.53420685
4301.148715,-2351,-3.168491634,-12.75455221
4282.452914,-2332,-3.048834277,-12.83621351
4263.869294,-2314,-3.076799318,-12.57091478
4245.397405,-2295,-2.867362667,-12.597261
4227.036786,-2277,-3.015491345,-12.70759318
4208.78697,-2259,-3.072632784,-12.82117415
4190.647483,-2241,-2.853485008,-12.68508513
4172.617842,-2223,-3.127235664,-12.3944916
4154.697557,-2205,-2.947207892,-12.47055591
4136.886129,-2187,-2.968069267,-12.66740813
4119.183052,-2169,-2.787698528,-12.51514548
4101.587814,-2152,-2.804097688,-12.50787409
4084.099891,-2134,-2.890665152,-12.55130406
4066.718756,-2117,-3.019693202,-12.54993548
4049.443871,-2099,-2.893000706,-12.66664658
4032.274692,-2082,-2.93829541,-12.39044189
4015.210665,-2065,-2.883188405,-12.54582123
3998.251231,-2048,-2.633279229,-12.70916405
3981.395821,-2031,-2.624481129,-12.56917085
3964.64386,-2015,-2.760702854,-12.82042024
3947.994764,-1998,-2.699194949,-12.9157647
3931.447941,-1981,-2.872809817,-12.61423324
3915.002793,-1965,-2.693115709,-12.8872894
3898.658713,-1949,-2.932531569,-12.4120568
3882.415086,-1932,-3.069040444,-12.71153911
3866.271289,-1916,-2.625850444,-12.45978623
3850.226692,-1900,-2.675497002,-12.40106713
3834.280658,-1884,-2.622916379,-12.85044639
3818.432541,-1868,-2.428993205,-12.59312946
3802.681686,-1853,-2.885130793,-13.12174293
3787.027433,-1837,-2.378899233,-12.83534208
3771.469114,-1821,-2.773278424,-12.78103981
3756.00605,-1806,-2.71808439,-13.0642034
3740.637557,-1791,-2.731589931,-12.93172716
3725.362944,-1775,-2.643954766,-12.89561813
3710.181509,-1760,-2.828667177,-12.42319243
3695.092546,-1745,-2.673384837,-12.56519805
3680.095338,-1730,-2.907058379,-12.23493382
3665.189162,-1715,-3.028914464,-12.48588069
3650.373286,-1700,-2.828606774,-13.21523214
3635.646973,-1686,-2.817311323,-12.64165024
3621.009475,-1671,-2.812850583,-12.95469192
3606.460037,-1656,-2.713426821,-13.00544489
3591.997898,-1642,-2.530334085,-12.81386054
3577.622288,-1628,-2.585582039,-12.92111519
3563.332428,-1613,-2.889399269,-13.00177941
3549.127533,-1599,-2.532914905,-12.83827837
3535.006809,-1585,-2.725885937,-12.99699299
3520.969457,-1571,-2.839144321,-13.06173151
3507.014666,-1557,-2.708947696,-12.70202485
3493.141621,-1543,-2.648589428,-12.8844425
3479.349496,-1529,-3.127049784,-12.95713055
3465.63746,-1516,-2.890467273,-12.94584436
3452.004672,-1502,-3.244768876,-12.82056643
3438.450286,-1488,-3.211446441,-12.81627325
3424.973445,-1475,-3.325140879,-12.80087296
3411.573287,-1462,-3.384373807,-12.96058316
3398.24894,-1448,-3.296412213,-12.86513331
3384.999526,-1435,-3.315495603,-12.79230556
3371.824157,-1422,-3.273989002,-12.99589291
3358.721941,-1409,-3.276438298,-12.93934859
3345.691974,-1396,-3.000865197,-13.04925382
3332.733347,-1383,-3.232357606,-13.17425289
3319.845142,-1370,-2.652485116,-12.99518347
3307.026435,-1357,-2.787018928,-13.03753704
3294.276291,-1344,-2.848632224,-13.28185214
3281.59377,-1332,-2.660440792,-13.31070567
3268.977923,-1319,-2.914057035,-13.12201724
3256.427794,-1306,-2.820854106,-13.13963958
3243.942419,-1294,-2.856785855,-13.05837501
3235.240665,-1285,-3.076488552,-13.03102289
3222.863136,-1273,-3.030039909,-13.1623087
3210.547718,-1261,-2.981972699,-13.04613316
3198.293419,-1248,-3.093395451,-13.34412235
3186.099238,-1236,-3.047396631,-13.16426052
3173.964166,-1224,-2.962486562,-13.29860092
3161.887188,-1212,-2.913848869,-13.19118666
3149.867278,-1200,-3.250755799,-13.33791767
3137.903406,-1188,-3.118944023,-13.49338972
3125.994532,-1176,-3.102353057,-13.40997315
3114.139608,-1164,-3.261301974,-13.20216662
3102.337579,-1152,-3.208138094,-12.88261222
3090.587383,-1141,-3.247150927,-13.10086145
3078.887949,-1129,-3.582947271,-13.15429238
3067.238199,-1117,-3.293467723,-13.08265798
3055.637046,-1106,-3.699915234,-13.25572393
3044.083396,-1094,-3.427155099,-13.03631451
3032.576149,-1083,-3.597321421,-13.24158459
3021.114193,-1071,-3.809324092,-13.23345547
3009.696413,-1060,-3.080040567,-13.04979352
2998.321683,-1048,-3.151354749,-13.22390051
2986.988871,-1037,-2.948520013,-13.20225776
2975.696835,-1026,-2.852873513,-12.81118667
2964.444428,-1014,-3.076798553,-13.17017029
2953.230494,-1003,-3.08795808,-13.04000001
2942.053868,-992,-3.286224112,-13.20168441
2930.91338,-981,-3.147983161,-13.065578
2919.807849,-970,-3.585913013,-12.99228242
2908.736089,-959,-3.347332896,-12.82710176
2897.696905,-948,-3.263313243,-12.88151685
2886.689094,-937,-3.091060596,-12.91351692
2886.139505,-936,-3.208952215,-12.81453428
2875.163333,-925,-3.084355249,-12.81408119
2864.216044,-914,-2.926561321,-13.24962859
2853.296413,-903,-3.037921094,-12.97990775
2842.403204,-892,-2.852910602,-12.94239252
2831.535176,-882,-2.835355215,-13.15990348
2820.69108,-871,-3.108778025,-13.17637091
2809.869658,-860,-2.91455992,-13.13854262
2799.069645,-849,-3.347867599,-12.87956448
2788.289767,-838,-3.195307928,-12.63709277
2777.528745,-828,-3.674931518,-13.18669312
2766.785289,-817,-3.476926274,-13.14653605
2756.058104,-806,-3.420613098,-13.25045227
2745.345886,-795,-3.44069967,-12.99106267
2734.647321,-785,-3.842870834,-13.13512155
2723.961092,-774,-3.652184096,-13.05126277
2713.285871,-763,-3.48170501,-13.28366577
2702.620322,-753,-3.470802904,-13.10546949
2691.963103,-742,-3.559549468,-13.32525918
2681.312864,-731,-3.510306261,-13.52895237
2670.668245,-721,-3.45151353,-13.23072239
2660.02788,-710,-3.452166131,-13.24445278
2649.390397,-699,-3.321982582,-13.32854426
2638.754412,-689,-3.317640735,-13.23320805
2628.118537,-678,-3.615955073,-13.4078086
2617.481374,-667,-3.332672679,-13.37685008
2606.841519,-657,-3.74697519,-13.55244462
2604.7131,-655,-4.373522993,-13.07324893
2602.584506,-653,-4.862931712,-14.73288804
2600.455726,-650,-4.261927036,-14.75436375
2598.326747,-648,-4.447767418,-14.56802727
2596.197558,-646,-4.485329864,-14.68848488
2594.068148,-644,-3.372708072,-13.74898453
2591.938506,-642,-3.748463401,-13.27601553
2589.80862,-640,-4.071836422,-13.70096666
2587.678479,-638,-4.360777574,-13.71350292
2577.556471,-628,-3.821682785,-13.62697139
2566.893872,-617,-3.401531036,-13.41920176
2556.2218,-606,-3.359873928,-13.24035804
2545.538807,-596,-3.243139182,-13.03525976
2534.843434,-585,-3.305056216,-12.98599342
2524.134216,-574,-3.340931283,-12.97221081
2513.409681,-563,-3.3857012,-13.09555101
2502.668347,-553,-3.225139957,-12.96001324
2491.908726,-542,-3.70711209,-13.02697539
2481.129322,-531,-3.605840955,-13.09795948
2470.328631,-520,-3.630707514,-13.05855678
2459.505141,-510,-3.373309864,-13.16774312
2448.657332,-499,-3.361536717,-13.20471474
2437.783677,-488,-3.261658697,-13.02371292
2426.882641,-477,-3.446114746,-13.11988452
2415.952682,-466,-3.320485113,-12.91185178
2404.992248,-455,-3.305423283,-12.37998928
2393.999781,-444,-3.275202585,-12.44676613
2382.973715,-433,-3.032991208,-12.57117508
2371.912476,-422,-3.088022376,-12.87304306
2360.814482,-411,-3.017085734,-13.08033493
2349.678144,-400,-2.74237028,-12.90662166
2338.501865,-389,-3.005215182,-12.78073871
2327.284039,-377,-3.184678866,-12.61893489
2316.023054,-366,-3.210287968,-12.57976335
2304.71729,-355,-3.036466943,-12.72664419
2293.365117,-343,-3.196334629,-13.15610392
2227.69094,-278,-2.260679247,-13.22392049
2225.354457,-275,-3.108007097,-13.3268863
2223.01566,-273,-3.178892436,-13.12311098
2220.674536,-271,-3.386489177,-13.03540584
2218.33107,-268,-3.632900925,-12.98209946
2215.98525,-266,-3.702303114,-12.94541434
2213.637062,-264,-3.893523579,-13.01646732
2211.286491,-261,-4.359350128,-13.27789667
2208.933526,-259,-4.213517046,-12.95680103
2206.578151,-257,-3.949188967,-12.8553999
2204.220354,-254,-3.969946523,-12.91661038
2201.860121,-252,-3.798537693,-12.89059079
2199.497439,-249,-3.840534244,-12.69391822
2197.132293,-247,-3.87352879,-12.6522473
2194.76467,-245,-4.276667261,-12.8165913
2192.394557,-242,-3.968222551,-13.42289606
2190.021939,-240,-3.78049746,-13.16843487
2187.646804,-238,-3.422446709,-13.04737041
2185.269137,-235,-3.424415579,-13.28178513
2182.888924,-233,-2.901574073,-14.05121806
2180.506153,-231,-3.205126615,-14.98190104
2178.120809,-228,-3.719068518,-14.93731064
2175.732879,-226,-3.004092495,-13.33746162
2173.342349,-223,-3.088859701,-12.53997196
2170.949205,-221,-3.722182508,-13.4416348
2168.553433,-219,-3.784321947,-13.4167608
2166.15502,-216,-3.125332794,-13.12668971
2163.753951,-214,-3.673470507,-13.08063426
2161.350214,-211,-3.980689549,-13.23532849
2158.943793,-209,-3.410696593,-13.04132885
2156.534676,-207,-3.418807304,-13.36894777
2155.329102,-205,-3.296,-12.978
2154.122849,-204,-3.352496929,-13.47986903
2151.708297,-202,-3.368425575,-13.52440619
2146.870964,-197,-3.735336859,-14.63489271
2144.448156,-194,-3.022747246,-13.84575385
2143.23571,-193,-3.058,-13.023
2142.022568,-192,-3.116842957,-12.8059006
2139.594186,-190,-3.599816075,-12.94417128
