"","age_calBP","method","Temp"
"251",843,"SA_temp",-0.4
"252",842,"SA_temp",-0.65
"253",841,"SA_temp",0.04
"254",840,"SA_temp",-0.18
"255",839,"SA_temp",-0.41
"256",838,"SA_temp",-0.26
"257",837,"SA_temp",-0.3
"258",836,"SA_temp",-0.38
"259",835,"SA_temp",-0.25
"260",834,"SA_temp",-0.75
"261",833,"SA_temp",-0.48
"262",832,"SA_temp",-0.44
"263",831,"SA_temp",-0.39
"264",830,"SA_temp",-0.29
"265",829,"SA_temp",-0.25
"266",828,"SA_temp",-0.27
"267",827,"SA_temp",-0.36
"268",826,"SA_temp",-0.25
"269",825,"SA_temp",-0.44
"270",824,"SA_temp",-0.33
"271",823,"SA_temp",-0.58
"272",822,"SA_temp",-0.83
"273",821,"SA_temp",-0.61
"274",820,"SA_temp",-0.48
"275",819,"SA_temp",-0.47
"276",818,"SA_temp",-0.51
"277",817,"SA_temp",-0.7
"278",816,"SA_temp",-0.47
"279",815,"SA_temp",-0.45
"280",814,"SA_temp",-0.22
"281",813,"SA_temp",-0.7
"282",812,"SA_temp",-0.47
"283",811,"SA_temp",-0.91
"284",810,"SA_temp",-0.7
"285",809,"SA_temp",-0.38
"286",808,"SA_temp",-0.49
"287",807,"SA_temp",-0.27
"288",806,"SA_temp",-0.71
"289",805,"SA_temp",-0.41
"290",804,"SA_temp",-0.31
"291",803,"SA_temp",-0.45
"292",802,"SA_temp",-0.26
"293",801,"SA_temp",0.04
"294",800,"SA_temp",-0.33
"295",799,"SA_temp",-0.07
"296",798,"SA_temp",-0.13
"297",797,"SA_temp",-0.27
"298",796,"SA_temp",0.01
"299",795,"SA_temp",-0.13
"300",794,"SA_temp",-0.65
"301",793,"SA_temp",-0.38
"302",792,"SA_temp",-0.17
"303",791,"SA_temp",0.03
"304",790,"SA_temp",0.2
"305",789,"SA_temp",0.69
"306",788,"SA_temp",0.28
"307",787,"SA_temp",-0.36
"308",786,"SA_temp",0.35
"309",785,"SA_temp",-0.18
"310",784,"SA_temp",-0.16
"311",783,"SA_temp",-0.17
"312",782,"SA_temp",0.06
"313",781,"SA_temp",-0.25
"314",780,"SA_temp",-0.15
"315",779,"SA_temp",-0.13
"316",778,"SA_temp",-0.07
"317",777,"SA_temp",-0.06
"318",776,"SA_temp",-0.05
"319",775,"SA_temp",-0.22
"320",774,"SA_temp",0.38
"321",773,"SA_temp",0.36
"322",772,"SA_temp",0.23
"323",771,"SA_temp",-0.01
"324",770,"SA_temp",-0.26
"325",769,"SA_temp",0.17
"326",768,"SA_temp",0.01
"327",767,"SA_temp",0.01
"328",766,"SA_temp",0.07
"329",765,"SA_temp",0.28
"330",764,"SA_temp",0.3
"331",763,"SA_temp",-0.09
"332",762,"SA_temp",-0.32
"333",761,"SA_temp",-0.13
"334",760,"SA_temp",-0.02
"335",759,"SA_temp",0.23
"336",758,"SA_temp",0.03
"337",757,"SA_temp",-0.18
"338",756,"SA_temp",0.17
"339",755,"SA_temp",0.29
"340",754,"SA_temp",0.35
"341",753,"SA_temp",-0.45
"342",752,"SA_temp",0.13
"343",751,"SA_temp",0.29
"344",750,"SA_temp",0.32
"345",749,"SA_temp",-0.02
"346",748,"SA_temp",-0.57
"347",747,"SA_temp",-0.59
"348",746,"SA_temp",0.04
"349",745,"SA_temp",0.57
"350",744,"SA_temp",0.02
"351",743,"SA_temp",0.23
"352",742,"SA_temp",-0.06
"353",741,"SA_temp",-0.35
"354",740,"SA_temp",-0.27
"355",739,"SA_temp",-0.15
"356",738,"SA_temp",-0.48
"357",737,"SA_temp",-0.56
"358",736,"SA_temp",-0.27
"359",735,"SA_temp",-0.31
"360",734,"SA_temp",0.3
"361",733,"SA_temp",-0.13
"362",732,"SA_temp",0.43
"363",731,"SA_temp",-0.19
"364",730,"SA_temp",0.02
"365",729,"SA_temp",0.1
"366",728,"SA_temp",0.14
"367",727,"SA_temp",0.15
"368",726,"SA_temp",-0.01
"369",725,"SA_temp",0.16
"370",724,"SA_temp",0.24
"371",723,"SA_temp",-0.19
"372",722,"SA_temp",0.04
"373",721,"SA_temp",-0.14
"374",720,"SA_temp",-0.02
"375",719,"SA_temp",0.07
"376",718,"SA_temp",0.11
"377",717,"SA_temp",0.07
"378",716,"SA_temp",-0.02
"379",715,"SA_temp",0.05
"380",714,"SA_temp",0.32
"381",713,"SA_temp",0.11
"382",712,"SA_temp",0.07
"383",711,"SA_temp",-0.12
"384",710,"SA_temp",0.19
"385",709,"SA_temp",-0.38
"386",708,"SA_temp",-0.41
"387",707,"SA_temp",0.04
"388",706,"SA_temp",0.01
"389",705,"SA_temp",-0.15
"390",704,"SA_temp",0.2
"391",703,"SA_temp",-0.12
"392",702,"SA_temp",-0.45
"393",701,"SA_temp",-0.13
"394",700,"SA_temp",0.05
"395",699,"SA_temp",-0.1
"396",698,"SA_temp",-0.16
"397",697,"SA_temp",0.05
"398",696,"SA_temp",0.17
"399",695,"SA_temp",0.23
"400",694,"SA_temp",0.3
"401",693,"SA_temp",-0.02
"402",692,"SA_temp",-0.05
"403",691,"SA_temp",0.26
"404",690,"SA_temp",0.09
"405",689,"SA_temp",0.25
"406",688,"SA_temp",0.09
"407",687,"SA_temp",0.08
"408",686,"SA_temp",0.09
"409",685,"SA_temp",0.02
"410",684,"SA_temp",0.13
"411",683,"SA_temp",0.14
"412",682,"SA_temp",-0.09
"413",681,"SA_temp",-0.02
"414",680,"SA_temp",0.01
"415",679,"SA_temp",-0.08
"416",678,"SA_temp",-0.19
"417",677,"SA_temp",-0.15
"418",676,"SA_temp",-0.37
"419",675,"SA_temp",0.05
"420",674,"SA_temp",-0.02
"421",673,"SA_temp",-0.34
"422",672,"SA_temp",-0.01
"423",671,"SA_temp",0.23
"424",670,"SA_temp",0.24
"425",669,"SA_temp",-0.11
"426",668,"SA_temp",-0.02
"427",667,"SA_temp",0.06
"428",666,"SA_temp",0.13
"429",665,"SA_temp",0.07
"430",664,"SA_temp",-0.06
"431",663,"SA_temp",-0.03
"432",662,"SA_temp",0
"433",661,"SA_temp",-0.31
"434",660,"SA_temp",-0.42
"435",659,"SA_temp",-0.19
"436",658,"SA_temp",0.08
"437",657,"SA_temp",-0.07
"438",656,"SA_temp",0.21
"439",655,"SA_temp",0.12
"440",654,"SA_temp",-0.04
"441",653,"SA_temp",-0.04
"442",652,"SA_temp",-0.01
"443",651,"SA_temp",-0.04
"444",650,"SA_temp",-0.08
"445",649,"SA_temp",-0.08
"446",648,"SA_temp",-0.09
"447",647,"SA_temp",-0.01
"448",646,"SA_temp",-0.05
"449",645,"SA_temp",0.01
"450",644,"SA_temp",0.08
"451",643,"SA_temp",0.13
"452",642,"SA_temp",0.16
"453",641,"SA_temp",-0.1
"454",640,"SA_temp",-0.21
"455",639,"SA_temp",-0.14
"456",638,"SA_temp",0.13
"457",637,"SA_temp",-0.42
"458",636,"SA_temp",-0.08
"459",635,"SA_temp",-0.27
"460",634,"SA_temp",0.01
"461",633,"SA_temp",0.09
"462",632,"SA_temp",-0.11
"463",631,"SA_temp",0.07
"464",630,"SA_temp",-0.07
"465",629,"SA_temp",0.02
"466",628,"SA_temp",-0.12
"467",627,"SA_temp",0.08
"468",626,"SA_temp",-0.12
"469",625,"SA_temp",-0.18
"470",624,"SA_temp",0.33
"471",623,"SA_temp",0.19
"472",622,"SA_temp",-0.13
"473",621,"SA_temp",0.17
"474",620,"SA_temp",0.07
"475",619,"SA_temp",0.12
"476",618,"SA_temp",0.08
"477",617,"SA_temp",0.05
"478",616,"SA_temp",0.26
"479",615,"SA_temp",-0.28
"480",614,"SA_temp",0.13
"481",613,"SA_temp",0.2
"482",612,"SA_temp",-0.13
"483",611,"SA_temp",0.39
"484",610,"SA_temp",0.48
"485",609,"SA_temp",0.27
"486",608,"SA_temp",0.22
"487",607,"SA_temp",0.06
"488",606,"SA_temp",0.11
"489",605,"SA_temp",-0.06
"490",604,"SA_temp",0.02
"491",603,"SA_temp",0.06
"492",602,"SA_temp",-0.02
"493",601,"SA_temp",-0.13
"494",600,"SA_temp",0.09
"495",599,"SA_temp",0.06
"496",598,"SA_temp",-0.32
"497",597,"SA_temp",-0.28
"498",596,"SA_temp",-0.32
"499",595,"SA_temp",-0.2
"500",594,"SA_temp",-0.41
"501",593,"SA_temp",-0.37
"502",592,"SA_temp",-0.33
"503",591,"SA_temp",-0.18
"504",590,"SA_temp",-0.21
"505",589,"SA_temp",-0.58
"506",588,"SA_temp",-0.21
"507",587,"SA_temp",-0.33
"508",586,"SA_temp",-0.41
"509",585,"SA_temp",-0.55
"510",584,"SA_temp",-0.38
"511",583,"SA_temp",-0.33
"512",582,"SA_temp",0.01
"513",581,"SA_temp",-0.64
"514",580,"SA_temp",-0.26
"515",579,"SA_temp",-0.29
"516",578,"SA_temp",-0.3
"517",577,"SA_temp",-0.02
"518",576,"SA_temp",-0.26
"519",575,"SA_temp",-0.52
"520",574,"SA_temp",-0.31
"521",573,"SA_temp",0.03
"522",572,"SA_temp",-0.38
"523",571,"SA_temp",-0.16
"524",570,"SA_temp",-0.34
"525",569,"SA_temp",-0.54
"526",568,"SA_temp",-0.52
"527",567,"SA_temp",-0.19
"528",566,"SA_temp",-0.4
"529",565,"SA_temp",-0.34
"530",564,"SA_temp",-0.53
"531",563,"SA_temp",-0.53
"532",562,"SA_temp",-0.2
"533",561,"SA_temp",-0.33
"534",560,"SA_temp",-0.54
"535",559,"SA_temp",-0.59
"536",558,"SA_temp",-0.57
"537",557,"SA_temp",-0.41
"538",556,"SA_temp",-0.59
"539",555,"SA_temp",-0.52
"540",554,"SA_temp",-0.42
"541",553,"SA_temp",-0.51
"542",552,"SA_temp",-0.53
"543",551,"SA_temp",-0.79
"544",550,"SA_temp",-0.42
"545",549,"SA_temp",-0.69
"546",548,"SA_temp",-0.86
"547",547,"SA_temp",-0.68
"548",546,"SA_temp",-0.8
"549",545,"SA_temp",-0.79
"550",544,"SA_temp",-0.23
"551",543,"SA_temp",-0.12
"552",542,"SA_temp",-0.37
"553",541,"SA_temp",-0.61
"554",540,"SA_temp",-0.73
"555",539,"SA_temp",-0.71
"556",538,"SA_temp",-0.79
"557",537,"SA_temp",-0.65
