depth,bchron_age_model,%_tom,%_tc,dry_bd,%_lithics,%_clay,%_silt,%_sand,C_N,d13C,d15N,charcoal
153,1460,29.5,3.9,0.3,50.5,55.3,34.3,9.1,13.4,-27.28,1.3,2.58
154,1469,29.6,4.2,0.3,52.5,58.6,33.2,6.7,12.9,-26.42,1.3,2.91
155,1477,29.5,6,0.3,53.9,60.7,31.6,5.5,12.4,-25.56,1.3,3.23
156,1486,30.2,5.9,0.3,52,37.5,55.9,5.8,12.2,-24.97,1.34,3.56
157,1495,33.4,4,0.3,52.5,59.3,33.4,5.9,12.8,-25.22,1.49,4.04
158,1503.5,32.6,3.6,0.3,44.9,60.2,33.1,5.4,13.4,-25.47,1.64,4.57
159,1513.5,25.9,4,0.4,50.7,51.5,35.8,10.4,14.1,-25.73,1.79,5.11
160,1522,25.6,4.1,0.4,53.1,39.8,51.1,8,14.5,-25.91,1.91,5.64
161,1532,31,4.2,0.3,52.2,55.2,37.2,6.2,14.5,-25.88,1.96,6.17
162,1544,32.1,4.2,0.3,52.4,64.8,31.2,2.4,14.4,-25.85,2.01,6.48
163,1556,31.5,4.4,0.3,60.5,55.9,39.3,3.4,14.3,-25.82,2.06,6.71
164,1573,30.5,4.6,0.3,53,59.9,38.4,0.6,14.2,-25.8,2.09,6.94
165,1585,29,4.8,0.3,54.5,61.8,26.7,9.6,13.9,-25.78,2.07,7.17
166,1598,29.5,4.9,0.3,54.4,61.9,29.8,6.7,13.5,-25.76,2.04,7.4
167,1606,33.1,4.9,0.2,46.6,53.1,37.2,8.3,13.1,-25.74,2.02,7.52
168,1615,33.3,4.8,0.2,52.4,54.1,38.9,5.6,12.8,-25.8,2,7.59
169,1624,30.7,4.7,0.3,55.5,54.4,35.6,8.5,12.6,-26.11,2,7.67
170,1633,30.3,4.7,0.3,55.4,56.3,37.2,5.4,12.4,-26.41,2,7.74
171,1642,31.3,4.8,0.3,41.9,49.7,34.8,14.1,12.2,-26.72,2,7.82
172,1653,31.4,4.8,0.3,49.5,50.4,36.4,11.7,12.1,-26.4,2.22,8.89
173,1661,29.9,4.4,0.3,57.7,53.2,38.7,6.9,12.2,-24.18,3.11,10.28
174,1668.5,25.7,3.8,0.5,47.3,52.8,40.4,5.6,12.2,-21.97,3.99,11.68
175,1676,15.5,2.7,0.8,68.3,38.6,55.9,3.8,12.3,-19.75,4.88,13.07
176,1684,14,2.5,0.9,77.1,27.2,70.2,1.6,12.5,-20.39,4.52,14.47
177,1693.5,18,2.7,0.6,70.5,28.2,65.3,6,12.8,-21.97,3.74,13.47
178,1703,24.2,3.1,0.4,61.3,33.9,58.5,6.9,13.1,-23.56,2.96,11.68
179,1711,33.4,3.6,0.3,44.6,51.5,36.9,9.9,13.4,-25.14,2.18,9.88
180,1719,34.7,3.8,0.3,41.9,49.7,34.8,14.4,13.5,-26.31,1.54,8.09
181,1729,32.1,3.8,0.3,45.8,47.2,35,16.8,13.1,-26.22,1.29,6.29
182,1738,30.8,3.9,0.3,51.1,71.9,22.6,4,12.8,-26.14,1.04,5.29
183,1746,30.2,4,0.3,60.2,63.7,33.7,0.8,12.4,-26.05,0.79,4.56
184,1754.5,30.9,4,0.3,54.1,52,39.3,7.5,12.2,-26.05,0.66,3.82
185,1764,34.8,3.8,0.3,45.1,57.4,29.3,11.7,12.7,-26.27,0.88,3.09
186,1770,37.5,3.8,0.3,39.6,54.1,33.8,11.5,13.2,-26.49,1.11,2.35
187,1776,39.5,3.7,0.3,34.9,44.6,44.7,9.7,13.7,-26.71,1.33,2.94
188,1782.5,38.5,3.8,0.3,25.2,53.5,37.9,7.6,14,-26.88,1.48,3.96
189,1788.5,33,4,0.3,30.9,51.7,37.4,9.6,14.1,-26.9,1.41,4.98
190,1798,32.1,4,0.3,30.2,52.8,37.7,8.2,14.2,-26.92,1.33,6.01
