"","sites_AD","0_AD","100_AD","200_AD","300_AD","400_AD","500_AD","600_AD","700_AD","800_AD","900_AD","1000_AD","1100_AD","1200_AD","1300_AD","1400_AD","1500_AD","1600_AD","1700_AD","1710_AD","1720_AD","1730_AD","1740_AD","1750_AD","1760_AD","1770_AD","1780_AD","1790_AD","1800_AD","1810_AD","1820_AD","1830_AD","1840_AD","1850_AD","1860_AD","1870_AD","1880_AD","1890_AD","1900_AD","1910_AD","1920_AD","1930_AD","1940_AD","1950_AD","1960_AD","1970_AD","1980_AD","1990_AD","2000_AD"
"19","Clm-A-E_Herrer-2",347.964141845703,370.856536865234,395.254974365234,421.258605957031,448.972991943359,478.510681152344,509.991638183594,543.543762207031,579.303161621094,637.233520507812,695.163818359375,787.852355957031,880.540832519531,973.229370117188,1065.91784667969,1158.60632324219,364.960998535156,231.721282958984,284.653442382812,347.210418701172,420.666229248047,506.346435546875,605.593200683594,719.717834472656,849.939697265625,997.310119628906,1162.6240234375,1346.31945800781,1402.93969726562,1448.67175292969,1881.26525878906,2450.29028320312,3170.79028320312,3665.14501953125,4184.38232421875,5321.22412109375,6524.50634765625,8057.474609375,10180.9609375,13266.5400390625,17208.744140625,20175.4609375,26514.005859375,35311.3203125,46708.10546875,58110.98828125,70450.4296875,84778.78125
"20","Clm-A-E_Suesca-1",905.859130859375,965.455078125,1028.97192382812,1096.66735839844,1168.81652832031,1245.71240234375,1327.66711425781,1415.013671875,1508.10668945312,1658.91735839844,1809.72802734375,2051.02514648438,2292.322265625,2533.619140625,2774.91625976562,3016.21337890625,950.107238769531,603.24267578125,651.333435058594,698.297485351562,743.611572265625,786.714294433594,827.010498046875,863.87939453125,896.684631347656,924.789001464844,947.572570800781,964.455322265625,883.351928710938,801.725158691406,915.095336914062,1047.59790039062,1191.53112792969,1210.56982421875,1214.76098632812,1357.78735351562,1463.2841796875,1588.330078125,1763.97058105469,2020.32397460938,2303.4208984375,2373.60473632812,2741.70703125,3209.37475585938,3731.29467773438,4080.24560546875,4347.82958984375,4598.71826171875
"21","Clm-A-E_Suesca-2",905.859130859375,965.455078125,1028.97192382812,1096.66735839844,1168.81652832031,1245.71240234375,1327.66711425781,1415.013671875,1508.10668945312,1658.91735839844,1809.72802734375,2051.02514648438,2292.322265625,2533.619140625,2774.91625976562,3016.21337890625,950.107238769531,603.24267578125,651.333435058594,698.297485351562,743.611572265625,786.714294433594,827.010498046875,863.87939453125,896.684631347656,924.789001464844,947.572570800781,964.455322265625,883.351928710938,801.725158691406,915.095336914062,1047.59790039062,1191.53112792969,1210.56982421875,1214.76098632812,1357.78735351562,1463.2841796875,1588.330078125,1763.97058105469,2020.32397460938,2303.4208984375,2373.60473632812,2741.70703125,3209.37475585938,3731.29467773438,4080.24560546875,4347.82958984375,4598.71826171875
"22","Clm-A-E_Ubaqu-10",1459.56359863281,1555.58752441406,1657.92883300781,1767.00305175781,1883.25329589844,2007.15148925781,2139.20092773438,2279.93774414062,2429.93383789062,2672.92700195312,2915.92041015625,3304.7099609375,3693.49926757812,4082.28857421875,4471.078125,4859.86767578125,1530.85827636719,971.973510742188,1022.18872070312,1067.41552734375,1107.14501953125,1140.88195800781,1168.15380859375,1188.52258300781,1201.59851074219,1207.056640625,1204.65539550781,1194.25695800781,1065.40515136719,941.828552246094,1047.07556152344,1167.53955078125,1293.44421386719,1279.96313476562,1251.01867675781,1361.97802734375,1429.65844726562,1511.50537109375,1635.02966308594,1823.982421875,2025.52807617188,2033.00610351562,2287.26586914062,2607.8427734375,2953.15209960938,3145.41479492188,3264.59594726562,3363.24926757812
"23","Clm-A-E_Ubaqu-11",1459.56359863281,1555.58752441406,1657.92883300781,1767.00305175781,1883.25329589844,2007.15148925781,2139.20092773438,2279.93774414062,2429.93383789062,2672.92700195312,2915.92041015625,3304.7099609375,3693.49926757812,4082.28857421875,4471.078125,4859.86767578125,1530.85827636719,971.973510742188,1022.18872070312,1067.41552734375,1107.14501953125,1140.88195800781,1168.15380859375,1188.52258300781,1201.59851074219,1207.056640625,1204.65539550781,1194.25695800781,1065.40515136719,941.828552246094,1047.07556152344,1167.53955078125,1293.44421386719,1279.96313476562,1251.01867675781,1361.97802734375,1429.65844726562,1511.50537109375,1635.02966308594,1823.982421875,2025.52807617188,2033.00610351562,2287.26586914062,2607.8427734375,2953.15209960938,3145.41479492188,3264.59594726562,3363.24926757812
"24","Clm-A-E_Ubaqu-12",1459.56359863281,1555.58752441406,1657.92883300781,1767.00305175781,1883.25329589844,2007.15148925781,2139.20092773438,2279.93774414062,2429.93383789062,2672.92700195312,2915.92041015625,3304.7099609375,3693.49926757812,4082.28857421875,4471.078125,4859.86767578125,1530.85827636719,971.973510742188,1022.18872070312,1067.41552734375,1107.14501953125,1140.88195800781,1168.15380859375,1188.52258300781,1201.59851074219,1207.056640625,1204.65539550781,1194.25695800781,1065.40515136719,941.828552246094,1047.07556152344,1167.53955078125,1293.44421386719,1279.96313476562,1251.01867675781,1361.97802734375,1429.65844726562,1511.50537109375,1635.02966308594,1823.982421875,2025.52807617188,2033.00610351562,2287.26586914062,2607.8427734375,2953.15209960938,3145.41479492188,3264.59594726562,3363.24926757812
"25","Clm-A-E_Ubaque-1",1459.56359863281,1555.58752441406,1657.92883300781,1767.00305175781,1883.25329589844,2007.15148925781,2139.20092773438,2279.93774414062,2429.93383789062,2672.92700195312,2915.92041015625,3304.7099609375,3693.49926757812,4082.28857421875,4471.078125,4859.86767578125,1530.85827636719,971.973510742188,1022.18872070312,1067.41552734375,1107.14501953125,1140.88195800781,1168.15380859375,1188.52258300781,1201.59851074219,1207.056640625,1204.65539550781,1194.25695800781,1065.40515136719,941.828552246094,1047.07556152344,1167.53955078125,1293.44421386719,1279.96313476562,1251.01867675781,1361.97802734375,1429.65844726562,1511.50537109375,1635.02966308594,1823.982421875,2025.52807617188,2033.00610351562,2287.26586914062,2607.8427734375,2953.15209960938,3145.41479492188,3264.59594726562,3363.24926757812
"26","Clm-A-E_Ubaque-2",1459.56359863281,1555.58752441406,1657.92883300781,1767.00305175781,1883.25329589844,2007.15148925781,2139.20092773438,2279.93774414062,2429.93383789062,2672.92700195312,2915.92041015625,3304.7099609375,3693.49926757812,4082.28857421875,4471.078125,4859.86767578125,1530.85827636719,971.973510742188,1022.18872070312,1067.41552734375,1107.14501953125,1140.88195800781,1168.15380859375,1188.52258300781,1201.59851074219,1207.056640625,1204.65539550781,1194.25695800781,1065.40515136719,941.828552246094,1047.07556152344,1167.53955078125,1293.44421386719,1279.96313476562,1251.01867675781,1361.97802734375,1429.65844726562,1511.50537109375,1635.02966308594,1823.982421875,2025.52807617188,2033.00610351562,2287.26586914062,2607.8427734375,2953.15209960938,3145.41479492188,3264.59594726562,3363.24926757812
"27","Clm-A-E_Ubaque-3",1459.56359863281,1555.58752441406,1657.92883300781,1767.00305175781,1883.25329589844,2007.15148925781,2139.20092773438,2279.93774414062,2429.93383789062,2672.92700195312,2915.92041015625,3304.7099609375,3693.49926757812,4082.28857421875,4471.078125,4859.86767578125,1530.85827636719,971.973510742188,1022.18872070312,1067.41552734375,1107.14501953125,1140.88195800781,1168.15380859375,1188.52258300781,1201.59851074219,1207.056640625,1204.65539550781,1194.25695800781,1065.40515136719,941.828552246094,1047.07556152344,1167.53955078125,1293.44421386719,1279.96313476562,1251.01867675781,1361.97802734375,1429.65844726562,1511.50537109375,1635.02966308594,1823.982421875,2025.52807617188,2033.00610351562,2287.26586914062,2607.8427734375,2953.15209960938,3145.41479492188,3264.59594726562,3363.24926757812
"28","Clm-A-E_Ubaque-4",1459.56359863281,1555.58752441406,1657.92883300781,1767.00305175781,1883.25329589844,2007.15148925781,2139.20092773438,2279.93774414062,2429.93383789062,2672.92700195312,2915.92041015625,3304.7099609375,3693.49926757812,4082.28857421875,4471.078125,4859.86767578125,1530.85827636719,971.973510742188,1022.18872070312,1067.41552734375,1107.14501953125,1140.88195800781,1168.15380859375,1188.52258300781,1201.59851074219,1207.056640625,1204.65539550781,1194.25695800781,1065.40515136719,941.828552246094,1047.07556152344,1167.53955078125,1293.44421386719,1279.96313476562,1251.01867675781,1361.97802734375,1429.65844726562,1511.50537109375,1635.02966308594,1823.982421875,2025.52807617188,2033.00610351562,2287.26586914062,2607.8427734375,2953.15209960938,3145.41479492188,3264.59594726562,3363.24926757812
