Sample ID,Sitename,Country,Sample,Material,C14_date,Error
Hv-1292,Cochasqui,Ecuador,779,charcoal,440,60
SFU-105,Loma Alta,Ecuador,,,4450,120
SFU-122,Loma Alta,Ecuador,,,4460,130
M-1317,Valdivia,Ecuador,"Zone D, 2.7 - 3.0",charcoal,4480,140
Hv-4840,Valdivia,Ecuador,,charcoal,4495,100
Hv-4674,Valdivia,Ecuador,,charcoal,4510,95
ISGS-477,Colimes,Ecuador,,,4525,75
Hv-4839,Valdivia,Ecuador,,charcoal,4535,55
GX-12470,Nambillo,Ecuador,R35,unknown,4540,80
Hv-4835,Valdivia,Ecuador,,unknown,4620,100
M-1322,Valdivia,Ecuador,"Zone E, 4.0 m",charcoal,4620,140
Hv-1284,Cochasqui,Ecuador,649,charcoal,465,50
GX-9460,Loma Alta,Ecuador,,,4700,270
N-4491,Huapula,Ecuador,MS-Hp Tola 1.50 m,unknown,4700,70
Hv-1283,Cochasqui,Ecuador,573,charcoal,475,65
SFU-110,Loma Alta,Ecuador,,,4790,160
SRR-439,Sangolqui,Ecuador,,wood,48800,0
SFU-123,Loma Alta,Ecuador,,,4920,200
GX-9458,Loma Alta,Ecuador,,,4960,210
GX-13674,Salango,Ecuador,,human bone,4970,900
GX-9459,Loma Alta,Ecuador,,,5050,240
PITT-415,La Mina,Ecuador,,unknown,515,40
M-1320,Valdivia,Ecuador,"Zone E, 3.6-3.9 m",charcoal,5150,150
GX-9457,Loma Alta,Ecuador,,,5240,420
GX-12471,Nambillo,Ecuador,R41,unknown,5325,110
Hv-1271,Cochasqui,Ecuador,540,charcoal,535,200
AA-58002,La Cruz Zumba,Ecuador,,,539,30
M-736,Cerro de Hojas,Ecuador,,charcoal,560,200
Beta-20642,C55,Ecuador,,,560,60
Hv-1291,Cochasqui,Ecuador,751,charcoal,610,60
AA-58000,Los Lotes,Ecuador,,,614,30
Beta-171896,Tacana,Ecuador,,,620,60
M-1426,Valle de los Quijos,Ecuador,Sitio Borja,charcoal,640,150
SRR-438,Quito,Ecuador,,wood,6470,60
Hv-1272,Cochasqui,Ecuador,555,charcoal,655,65
Hv-15238,Putushio,Ecuador,see:ARCCOMMENT,bone,660,60
SRR-718,Rio Monjas,Ecuador,,peat,6750,60
Hv-1275,Cochasqui,Ecuador,562,charcoal,690,50
UM-422,Arajuno,Ecuador,,bone,690,90
Hv-1281,Cochasqui,Ecuador,789,charcoal,700,100
Hv-1279,Cochasqui,Ecuador,727,charcoal,705,100
Hv-1276,Cochasqui,Ecuador,621,charcoal,720,20
Beta-100539,Huapula,Ecuador,,carbon,770,60
P-269,Nueva Armenia,Ecuador,,charcoal,771,51
Hv-14705,Putushio,Ecuador,(8)F2029/1a-475Cor.B,charcoal,775,80
P-347,Nueva Armenia,Ecuador,,charcoal,782,53
SI-3308,"Ayalan, Hacienda",Ecuador,,charcoal,795,90
Hv-14703,Putushio,Ecuador,(6) F2005/3a-4a-490,charcoal,820,40
GX-12475,Nambillo,Ecuador,R5,unknown,820,75
SI-3309,"Ayalan, Hacienda",Ecuador,,charcoal,840,60
TX-1133,Cubilan,Ecuador,,charcoal,8480,200
Beta-106087,Huapula,Ecuador,,carbon,850,60
Hv-1280,Cochasqui,Ecuador,742,charcoal,860,65
Hv-1277,Cochasqui,Ecuador,719,charcoal,890,60
HAM-228,Cochasqui,Ecuador,,wood,890,70
GX-12476,Nambillo,Ecuador,R6,unknown,895,75
R-1070/2,El Inga,Ecuador,,charcoal,9033,144
GX-12478,Nambillo,Ecuador,R4/R13,unknown,905,130
HAM-230,Cochasqui,Ecuador,,charcoal,910,60
Hv-1269,Cochasqui,Ecuador,114,wood,920,100
AA-58003,Paquisha,Ecuador,,,929,33
Hv-1274,Cochasqui,Ecuador,561,charcoal,930,60
SRR-2585,Rio Collanes,Ecuador,,peat,9310,60
Beta-100308,Huapula,Ecuador,,carbon,940,60
Hv-1271,Cochasqui,Ecuador,40,charcoal,955,60
SI-3534,"Ayalan, Hacienda",Ecuador,,bone,965,70
Hv-1278,Cochasqui,Ecuador,721,charcoal,975,105
HAM-229,Cochasqui,Ecuador,,wood,980,70
GX-12477,Nambillo,Ecuador,R37,unknown,995,70
