"","ages","dist_to_analogues","quality","lake"
"298",2931,0.911419298016191,"bad","Llaviucu"
"299",2961,0.893692784747508,"poor","Llaviucu"
"300",2967,0.879240991315106,"poor","Llaviucu"
"301",2997,0.864817450556608,"good","Llaviucu"
"302",3000,0.858698945026515,"good","Llaviucu"
"303",3016,0.884897616042782,"poor","Llaviucu"
"304",3036,0.867746884186886,"good","Llaviucu"
"305",3045,0.816248913555591,"good","Llaviucu"
"306",3064,0.857342538695218,"good","Llaviucu"
"307",3083,0.845994916157544,"good","Llaviucu"
"308",3104,0.831836031994895,"good","Llaviucu"
"309",3113,0.838522580925095,"good","Llaviucu"
"310",3140,0.874088577238492,"poor","Llaviucu"
"311",3162,0.839844012997065,"good","Llaviucu"
"312",3181,0.87456820928332,"poor","Llaviucu"
"313",3194,0.872021047098048,"poor","Llaviucu"
"314",3208,0.812647955264362,"good","Llaviucu"
"315",3227,0.844761157032557,"good","Llaviucu"
